trial,blend_rate,borrow_penalty,cov_lookback_days,rebalance_freq,spread_penalty,vol_cap,vol_floor,vol_lookback_days,vol_target,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24,Month_25,Month_26,Month_27,Month_28,Month_29,Month_30,Month_31,Month_32,Month_33,Month_34,Month_35,Mean_Sharpe,Var_Sharpe,Std_Sharpe,Min_Sharpe,Max_Sharpe,Objective_Value,Duration_s
326,0.7721251196455373,1.4679643244739875,22,47,1.5195673456412107,0.8094037953600961,0.31099564416872394,35,0.28722729228191946,-0.722418,-3.806784,0.606604,1.556340,2.811480,1.773725,0.813635,2.438875,2.700336,-2.049524,2.403173,-2.447171,0.374656,-1.280273,3.866513,-1.947302,5.254610,2.283421,-0.846018,-0.563451,-3.450438,0.989458,-2.499885,3.244015,1.252726,2.061417,3.956100,3.011786,2.434296,-3.997644,0.528908,3.055656,6.008032,0.268352,-3.090949,3.949261,0.859487,6.844201,2.616142,-3.997644,6.008032,0.328532,0.2
80,0.13099772944767343,1.601424749372917,10,48,1.5518704033417727,0.7633754425985233,0.31414481192954563,8,0.11220062164431646,-0.342279,-3.939814,0.602477,1.285584,2.972938,1.481368,0.888905,2.447836,2.705020,-2.025248,2.319934,-2.650546,0.274030,-1.276253,3.912079,-1.931528,5.517442,2.614910,-0.836401,-0.484909,-3.334057,1.037724,-2.221482,3.212225,1.118474,2.089524,3.914133,3.005334,2.389811,-4.032408,0.294494,3.051788,6.053905,0.114535,-3.112300,3.814310,0.859210,6.895965,2.626017,-4.032408,6.053905,0.327191,0.2
83,0.12154556109398437,1.6016219317891647,10,52,1.5379811882146834,0.7677318333398656,0.3295602982074232,10,0.11731181776172142,-0.341835,-3.935870,0.602243,1.289018,2.974095,1.485191,0.895145,2.447154,2.700512,-2.023920,2.320332,-2.647334,0.277221,-1.270146,3.916211,-1.926230,5.501448,2.601590,-0.837606,-0.489896,-3.335175,1.037124,-2.227971,3.216741,1.118912,2.086597,3.910326,3.003447,2.385672,-4.032433,0.304699,3.059735,6.043398,0.113157,-3.103610,3.811444,0.859150,6.883533,2.623649,-4.032433,6.043398,0.327464,0.2
216,0.9568621395708378,1.4660700703797667,23,45,1.5719159098146072,0.792914388172891,0.3363951949272217,37,0.13905232921725547,-0.733452,-3.827880,0.601992,1.543245,2.795708,1.767718,0.810602,2.444624,2.718346,-2.040231,2.409793,-2.453087,0.361594,-1.302623,3.844713,-1.950106,5.312601,2.342410,-0.845538,-0.585819,-3.450013,1.003060,-2.472324,3.216856,1.236629,2.075184,3.978674,3.019168,2.432146,-4.003121,0.468632,3.028867,6.053664,0.289640,-3.127197,3.955698,0.858894,6.890029,2.624886,-4.003121,6.053664,0.327212,0.3
346,0.9176561444994241,1.5143803707476127,24,51,1.5321262270144183,0.782629662539489,0.1605327602387837,35,0.2801041925280586,-0.615454,-3.825912,0.589776,1.477548,2.835244,1.518588,0.869714,2.365578,2.766539,-2.058709,2.409874,-2.490477,0.318184,-1.213351,3.870874,-1.947042,5.358627,2.421836,-0.862004,-0.508356,-3.428137,0.975502,-2.375853,3.181835,1.091592,2.043655,3.938627,3.070884,2.545934,-3.988271,0.521460,3.057416,6.020522,0.174542,-3.079660,3.878906,0.858612,6.832438,2.613893,-3.988271,6.020522,0.328480,0.3
415,0.18668523119018568,1.404506329116926,10,28,1.5553651792348389,0.6508258839592755,0.3290019531370893,35,0.2654835193128455,-0.726794,-3.922952,0.694621,1.543320,2.878476,2.145413,0.779485,2.613033,2.654842,-1.917874,2.324695,-2.543954,0.511848,-1.437593,3.837462,-1.938656,5.298393,2.359127,-0.756115,-0.861115,-3.470533,1.090985,-2.626987,3.287937,1.382796,2.175854,3.983706,2.959151,2.104554,-4.062065,0.229065,3.128450,6.097434,0.298126,-3.112279,3.902213,0.858446,7.031813,2.651757,-4.062065,6.097434,0.323727,0.2
463,0.4541956632011608,1.4863882205088186,23,51,1.5339679376731643,0.7074082766546977,0.18046893665291625,5,0.12129985235652808,-0.682417,-3.815525,0.575872,1.509368,2.813010,1.685189,0.841053,2.414317,2.710200,-2.048392,2.406383,-2.472030,0.335296,-1.255232,3.863740,-1.949683,5.313540,2.351231,-0.843628,-0.563315,-3.448509,0.996052,-2.433787,3.213946,1.179487,2.067166,3.953756,3.043821,2.466113,-3.990904,0.526154,3.043827,6.017153,0.247865,-3.106210,3.934510,0.858317,6.848533,2.616970,-3.990904,6.017153,0.327981,0.2
249,0.9957825766474943,1.5630642521117062,22,50,1.5685226845838844,0.7532210883715816,0.32878395707081365,34,0.11423516211371562,-0.527076,-3.836481,0.558140,1.406916,2.847548,1.427360,0.884360,2.377818,2.745956,-2.095131,2.390416,-2.544593,0.254212,-1.232532,3.883380,-1.975996,5.418153,2.459542,-0.873811,-0.370308,-3.377134,0.970335,-2.290455,3.166092,1.102376,2.030752,3.924387,3.050094,2.580017,-3.983891,0.550048,2.997222,6.011316,0.174404,-3.135160,3.926856,0.858198,6.835399,2.614460,-3.983891,6.011316,0.328251,0.2
158,0.14925331684741988,1.5226392614720248,20,53,1.5960322834729677,0.7433217170806228,0.2514371999923225,10,0.14317262419306026,-0.556694,-3.821723,0.545161,1.448047,2.824454,1.534823,0.868108,2.368834,2.759587,-2.093732,2.389596,-2.522165,0.301283,-1.227808,3.854062,-2.025271,5.426622,2.399201,-0.847620,-0.447438,-3.441771,0.970269,-2.319116,3.212381,1.104299,2.056416,3.931658,3.110894,2.546296,-3.960870,0.514602,3.025805,6.002191,0.174643,-3.119090,3.908607,0.858182,6.856170,2.618429,-3.960870,6.002191,0.327747,0.2
353,0.7985379846781482,1.555238117002617,20,50,1.5645437967115587,0.7727547868263284,0.15528591546038792,34,0.28692763363833196,-0.514692,-3.830380,0.556600,1.429131,2.827486,1.480847,0.865497,2.376395,2.757749,-2.094331,2.388735,-2.547600,0.282838,-1.222638,3.867516,-2.010911,5.414536,2.404633,-0.863672,-0.409419,-3.405048,0.979099,-2.300993,3.190569,1.091067,2.035580,3.916880,3.093969,2.560746,-3.961129,0.546944,3.032455,6.001655,0.169168,-3.124091,3.904365,0.858043,6.834759,2.614337,-3.961129,6.001655,0.328207,0.2
