trial,blend_rate,borrow_penalty,equal_weight_blend,momentum_lookback,rebalance_freq,spread_penalty,zero_negative,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24,Month_25,Month_26,Month_27,Month_28,Month_29,Month_30,Month_31,Month_32,Month_33,Month_34,Month_35,Mean_Sharpe,Var_Sharpe,Std_Sharpe,Min_Sharpe,Max_Sharpe,Objective_Value,Duration_s
351,0.7335154784849854,0.09274375449652396,0.19704897640296046,23,36,0.002423842477310786,True,-1.982320,-5.285385,-0.073396,3.420143,-1.208921,2.240612,-3.067013,2.400711,1.610739,0.524727,1.564131,-5.425688,-5.247030,1.928938,1.625359,1.248585,-1.123604,2.607272,-1.841784,0.193768,-1.146814,-1.197962,-1.896164,4.683079,4.489557,0.733704,6.461974,0.283495,1.113026,-3.255195,3.890660,5.966822,4.358397,0.827185,-3.350323,3.160044,0.534204,9.454799,3.074866,-5.425688,6.461974,0.173732,0.1
391,0.7876987456432786,0.09099567563370158,0.10287042079190084,15,24,0.008835611507697266,True,-2.754808,-5.572384,0.989148,2.241202,1.363112,1.696738,-1.909140,3.826234,-0.818752,-0.783627,2.581124,-1.648042,-2.333671,0.227043,-2.326621,-1.330652,-1.554676,3.138995,-1.639828,0.272547,0.743867,0.862770,-0.488783,3.663186,2.549434,1.984076,3.490460,0.586727,2.326020,-2.082082,2.168832,5.850402,1.932655,0.551276,-0.759340,2.152866,0.533231,5.475759,2.340034,-5.572384,5.850402,0.227873,0.1
386,0.518299360802442,0.09523632358414115,0.23971264283366997,16,43,0.024096962991859837,True,-1.758772,-5.462956,0.405318,2.825374,2.418211,1.733443,-2.509241,3.632759,0.553492,0.201952,3.028707,-1.523865,-1.188481,0.866136,-1.887136,-1.185308,0.650352,2.454815,-1.866802,0.764396,0.012221,-4.743495,-2.101010,5.239519,3.941836,2.409718,2.691438,-0.000742,3.655089,-3.193125,0.093962,5.655521,2.553052,0.889347,-1.483525,1.423169,0.533205,6.820732,2.611653,-5.462956,5.655521,0.204164,0.1
472,0.8557336993007576,0.09481041749668306,0.2339230870182622,15,36,0.022868860501753078,True,-2.359665,-5.588524,0.464474,2.057746,1.420624,1.487858,-1.912728,3.962945,-0.954860,-0.757012,2.534712,-1.934180,-1.610630,0.547155,-2.579571,-1.271866,-1.210228,3.133330,-2.034106,0.584948,0.645506,0.862770,-0.382475,4.109857,2.643010,1.837764,3.653164,0.568653,2.291540,-2.543028,2.116179,5.571588,2.299487,0.375999,-1.092623,2.223316,0.532254,5.550275,2.355902,-5.588524,5.571588,0.225923,0.1
155,0.6382737769303582,0.09846899847146869,0.2532481628166546,26,24,0.018548309814678074,True,-1.869305,-5.490894,0.133832,3.805306,-0.313616,2.808767,-2.592094,1.984939,2.310735,0.230158,2.193841,-3.844220,-4.641039,0.756481,-0.035879,1.108296,-1.046943,2.424307,-2.735198,0.907210,-1.275411,-0.219819,-1.918154,5.782488,4.428754,0.708988,5.481204,0.750908,1.557293,-3.116645,-1.319912,5.671938,5.303330,0.387612,-2.423119,3.220853,0.530972,8.580850,2.929309,-5.490894,5.782488,0.181262,0.1
454,0.8187189936281901,0.09275142887613869,0.20663400454050254,24,17,0.019254699995125125,False,-1.228648,-5.944135,-0.206291,2.514813,-1.461083,4.151060,-3.452408,1.086523,3.198792,1.173106,1.179861,-4.203212,-3.576188,0.930087,3.549430,0.154059,0.003795,2.688970,-3.463464,0.408396,-2.537316,-1.278691,-1.601754,6.546629,4.071225,1.961926,4.901505,-0.125702,0.802080,-2.977934,4.625998,6.419556,4.162826,-0.848051,-3.895290,1.380898,0.530871,9.916515,3.149050,-5.944135,6.546629,0.168581,0.1
48,0.9924041136005387,0.01774395437797228,0.2475706061468559,149,65,0.02820345725713065,False,2.875162,-5.555244,1.388658,2.202305,1.103021,2.113845,-3.199426,6.748821,1.219952,-1.510844,1.275821,-0.891220,-4.090999,-0.698704,1.606499,2.208715,2.443955,-0.512962,-3.244578,0.746873,-0.691897,1.459199,-1.284822,1.197299,-2.218382,-0.776171,7.229688,-1.527983,2.437248,-2.856480,3.931349,4.065050,3.876626,-1.215471,-1.061162,0.310497,0.530673,7.858866,2.803367,-5.555244,7.229688,0.189299,0.1
488,0.5164457088679777,0.09464212483431497,0.012902620292972136,20,49,0.01645528830400548,False,-2.329128,-6.073395,0.367950,4.071930,-1.691480,0.661162,-2.933323,2.419713,1.963594,0.243763,2.445473,-4.645989,-1.636190,2.910046,-0.290528,-0.607684,-1.125472,3.250460,-0.180252,-2.425068,-0.427532,0.862770,-2.446580,7.759006,4.858996,0.649409,4.611987,-0.358797,2.653494,-2.624137,-0.274191,6.562832,3.335421,1.163097,-2.437287,0.782704,0.529633,9.033182,3.005525,-6.073395,7.759006,0.176220,0.1
276,0.4663779414296521,0.09056663573376475,0.22261615767336607,16,40,0.008604885741714908,True,-1.562336,-5.378085,0.600581,2.947300,2.290919,1.877742,-2.515205,3.684707,0.701051,-0.211716,3.006851,-1.609700,-1.825854,0.480163,-1.589408,-0.899931,0.443575,2.245744,-1.666434,0.640164,-0.033920,-4.818324,-1.881171,4.581379,3.694362,2.283456,2.914280,0.089875,3.513104,-3.064594,0.330375,5.777342,2.637538,0.887981,-1.386674,1.877927,0.529530,6.571853,2.563563,-5.378085,5.777342,0.206560,0.1
274,0.42898758493402567,0.09424374025790817,0.21575212078169742,12,35,0.004583804303959476,True,-0.540726,-6.658828,1.835741,2.723673,2.532096,2.048054,-2.068898,3.610592,2.766910,-1.997224,1.982255,-1.440850,-1.315519,-2.121530,-1.440309,-1.304787,-1.105631,2.950963,-1.369436,-1.492202,-0.366481,4.585559,-3.211829,2.733741,2.912075,1.449610,3.142040,-0.078317,1.867664,-3.393997,6.890256,5.948916,-3.966609,0.096146,0.415297,2.441750,0.529449,8.402989,2.898791,-6.658828,6.890256,0.182645,0.1
0,0.24646688973455957,0.05986584841970366,0.519705687464961,78,77,0.0731993941811405,True,-0.697599,-4.959907,1.293679,1.461278,1.052620,2.806603,-2.754424,4.042043,2.762765,-1.248178,1.571031,-2.277119,-4.364543,1.855505,0.398675,0.355567,2.154649,0.447894,-2.799914,1.098192,-1.187078,1.150936,-0.451542,1.267359,1.626992,-0.656726,5.064925,0.534352,0.779159,-3.577100,3.652874,4.177613,5.565879,-1.074736,-1.771117,1.747960,0.529127,6.323536,2.514664,-4.959907,5.565879,0.210416,0.1
487,0.48679198773863575,0.0963278764731175,0.23641931816586764,16,39,0.015662326505560365,True,-1.710472,-5.455959,0.404725,2.837438,2.438377,1.833985,-2.516001,3.627574,0.623336,0.101157,3.050155,-1.566590,-1.334660,0.696666,-1.725208,-1.097026,0.458332,2.402340,-1.832184,0.686299,-0.007696,-4.758049,-1.998850,4.798911,3.889082,2.398032,2.712996,0.049821,3.616525,-3.174203,0.100577,5.725888,2.588226,0.875552,-1.458243,1.740587,0.528373,6.701235,2.588674,-5.455959,5.725888,0.204110,0.1
376,0.5583638250803318,0.09552203735539667,0.1890119922618799,24,23,0.004443983967179935,True,-2.592175,-5.511549,-0.363455,3.431266,-0.736158,2.343248,-2.898606,2.081715,2.116300,0.696391,2.089478,-4.881000,-5.256002,1.046349,1.566526,1.467300,-1.519990,3.108831,-2.541368,0.099286,-0.863818,-1.075232,-1.383043,5.828948,4.684613,0.412246,5.969527,0.410886,0.747034,-2.645952,3.890660,5.831466,4.225124,0.620835,-3.487093,2.072244,0.527356,9.422521,3.069612,-5.511549,5.969527,0.171799,0.1
449,0.44246536789826796,0.09040359127306705,0.2881218658190153,15,22,0.03278469540785401,True,-2.054267,-5.548357,0.432651,2.029716,1.323198,1.428326,-1.933313,4.029492,-0.712069,-0.818370,1.840030,-2.058282,-1.579514,0.674915,-2.643991,-1.124926,-1.010354,3.013987,-2.110087,0.794878,0.466588,0.862770,-0.401974,4.704247,2.552566,1.712907,3.747678,0.547773,2.260957,-2.437133,2.030708,5.396254,2.503508,0.300627,-1.224834,1.930337,0.525740,5.464245,2.337572,-5.548357,5.396254,0.224909,0.1
367,0.2329643199557751,0.08974725210105877,0.23970690971546738,26,19,0.025369424312966113,True,-1.516935,-5.215003,0.207043,3.717283,-0.507756,2.855313,-2.827569,1.989147,2.373414,0.370684,2.184421,-4.477272,-4.465899,0.655018,0.581450,1.040170,-0.934934,2.241543,-2.580126,1.033314,-1.376100,-0.225022,-2.269626,5.596691,4.286861,0.842215,5.214217,0.667362,1.564914,-3.008546,-1.361725,5.847168,5.277138,0.440964,-2.405700,3.086183,0.525008,8.452568,2.907330,-5.215003,5.847168,0.180581,0.1
352,0.7734173962321728,0.08941691600406868,0.17335260137944475,16,38,0.014605241441975626,True,-1.848872,-5.408861,0.501642,3.057374,2.414033,1.930380,-2.496334,3.640892,0.528716,-0.060750,3.024991,-1.467218,-1.801460,0.624583,-1.829694,-1.072983,0.394486,2.332329,-1.617647,0.603899,0.098921,-5.024190,-1.867970,4.959221,3.838673,2.362755,2.701817,0.024426,3.658468,-3.089070,0.097310,5.828223,2.445621,1.017527,-1.289622,1.628275,0.523330,6.826926,2.612839,-5.408861,5.828223,0.200292,0.1
491,0.21571394144042166,0.09353340688043231,0.22688557217183003,23,37,0.015118916888248868,True,-1.970582,-5.274728,0.069564,3.397389,-1.261291,2.239555,-3.074491,2.460659,1.685769,0.453844,1.638847,-5.558376,-5.211823,1.918266,1.654698,1.219566,-1.031959,2.614822,-1.909031,0.418290,-1.200108,-1.861393,-1.932767,5.086123,4.408338,0.727343,6.154225,0.256899,1.116629,-3.279002,3.890660,5.818269,4.371663,0.837679,-3.461483,3.377496,0.521932,9.588054,3.096458,-5.558376,6.154225,0.168558,0.1
437,0.4606530425807348,0.09844192802519632,0.2094040271570067,16,26,0.007530466703829364,True,-1.814876,-5.469023,0.400896,2.849022,2.408972,1.909719,-2.516098,3.582131,0.625129,0.093698,3.100044,-1.538025,-1.486020,0.582159,-1.683331,-1.112777,0.213086,2.385066,-1.775523,0.566479,-0.041531,-4.874936,-1.773384,4.439722,3.928697,2.425798,2.814014,0.074618,3.614534,-3.060056,0.153029,5.841435,2.478783,0.919898,-1.387074,1.914004,0.521897,6.671688,2.582961,-5.469023,5.841435,0.202054,0.1
445,0.5086800479844864,0.09554076368557511,0.16507924280028874,15,38,0.021378470859855968,True,-2.755962,-5.618007,0.459731,2.115794,1.462710,1.528380,-1.863559,3.900134,-1.215232,-0.672067,2.638748,-1.784368,-1.644308,0.578650,-2.835866,-1.466723,-1.427081,3.257847,-1.940894,0.443868,0.812278,0.862770,-0.262195,4.101758,2.756303,1.910663,3.562663,0.560090,2.371371,-2.481036,2.044047,5.691069,1.997951,0.492194,-0.936614,2.133579,0.521630,5.705457,2.388610,-5.618007,5.691069,0.218382,0.1
124,0.7785468386358003,0.06316506874433941,0.1204559560340295,20,17,0.015424422798520212,True,-0.128346,-5.756291,0.681503,3.078140,-1.366243,1.874374,-3.432585,3.017416,3.096437,1.118238,1.301179,-2.771021,-2.450095,2.726208,1.773458,-0.730603,0.818301,2.379661,-1.372707,-0.534961,-2.672965,-2.365270,-2.112620,6.966483,2.701260,2.399678,4.283878,-0.366408,1.926113,-3.960211,0.057124,6.783566,4.119992,0.554957,-2.887363,0.016963,0.521312,8.391703,2.896844,-5.756291,6.966483,0.179959,0.1
356,0.7024109522081489,0.09901494020658429,0.2240657057366344,21,37,0.00197722330125351,True,-1.750378,-5.378820,0.402511,3.776932,-1.414158,1.353393,-2.925720,3.020645,1.748056,0.273463,2.489172,-5.379983,-4.931673,2.353350,0.549538,-0.320907,-0.349096,3.067319,-1.683695,-0.882241,-0.704531,-1.438740,-2.893729,6.153762,4.385511,0.880284,6.458031,0.318026,1.791417,-3.155722,0.004251,6.161546,4.526455,0.634278,-2.653506,4.274382,0.521095,9.937155,3.152325,-5.379983,6.458031,0.165305,0.1
328,0.7374128206553554,0.09450807672624152,0.13666048388021096,16,33,0.018604831818457592,True,-2.203792,-5.479808,0.387440,3.023534,2.581449,1.912249,-2.481301,3.537891,0.384575,0.269754,3.101777,-1.321327,-1.368237,0.829951,-2.078472,-1.358092,0.247589,2.509993,-1.656980,0.548835,0.181127,-5.168582,-1.962139,5.167689,4.106799,2.514713,2.554174,-0.032545,3.825498,-3.076456,-0.128845,5.876303,2.208539,1.115019,-1.244365,1.432416,0.521010,7.100115,2.664604,-5.479808,5.876303,0.195530,0.1
283,0.7276617026061947,0.0910354031948107,0.24510270120594999,23,35,0.020663800361790954,True,-1.880531,-5.266046,0.106083,3.355839,-1.256678,2.163212,-3.069150,2.535792,1.709509,0.408702,1.677821,-5.604717,-5.188755,1.901756,1.715173,1.256786,-0.963129,2.585364,-1.946003,0.580594,-1.225926,-1.861144,-2.012686,5.235285,4.326551,0.708507,6.008269,0.221285,1.117133,-3.308872,3.890660,5.754171,4.387058,0.821132,-3.481792,3.353070,0.520953,9.557696,3.091552,-5.604717,6.008269,0.168509,0.1
425,0.5103383740294172,0.0938162142146352,0.21385156025262356,23,24,0.01696234534668417,False,-2.064854,-5.290643,0.086502,3.434562,-1.326493,2.264179,-3.069085,2.429412,1.671660,0.488864,1.640922,-5.606886,-5.227582,1.939929,1.645620,1.196031,-1.084828,2.635547,-1.889880,0.467086,-1.217554,-1.906821,-1.915377,5.175339,4.443271,0.730673,6.122147,0.246979,1.120727,-3.269943,3.890660,5.822467,4.341922,0.880076,-3.465517,3.399535,0.520518,9.668204,3.109374,-5.606886,6.122147,0.167403,0.1
