trial,blend_rate,borrow_penalty,equal_weight_blend,floor_ann_vol,momentum_lookback,rebalance_freq,spike_multiplier,spread_penalty,vol_lookback_days,zero_negative,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24,Month_25,Month_26,Month_27,Month_28,Month_29,Month_30,Month_31,Month_32,Month_33,Month_34,Month_35,Mean_Sharpe,Var_Sharpe,Std_Sharpe,Min_Sharpe,Max_Sharpe,Objective_Value,Duration_s
428,0.7885408862229368,0.7633560122316998,0.05470668966011773,0.16189805499435644,54,56,1.3736773634802213,0.6371876216701757,14,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.177436,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.760349,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.884986,5.763274,2.400682,-4.306618,5.614684,0.368639,0.2
290,0.793594922051379,0.6330309823663399,0.05969501661144194,0.15437540611236145,55,60,1.3575737644353891,0.8400512286328642,16,True,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.160994,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.768462,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.884304,5.761892,2.400394,-4.306618,5.614684,0.368399,0.2
208,0.6965233603690174,0.7225463875344402,0.011654047821573634,0.17511172101455197,53,56,1.2949650665305723,0.6999741373542558,13,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,2.996045,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.692608,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.881829,5.734205,2.394620,-4.306618,5.614684,0.368254,0.2
356,0.8988743266058272,0.7332731553387591,0.011740988176810217,0.15053388140889096,55,58,1.2937963026335266,0.782819084659661,13,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,2.995805,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.692741,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.881819,5.734188,2.394616,-4.306618,5.614684,0.368251,0.2
212,0.7653090907512886,0.7566428346066901,0.020124735764034365,0.18140980777444732,54,56,1.3185819630347466,0.6484700302321673,13,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,2.972499,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.705619,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.880814,5.732550,2.394274,-4.306618,5.614684,0.367883,0.2
222,0.8100360301845723,0.72300828149792,0.025074811473620923,0.16473308471614256,53,58,1.3012038662625138,0.7016531859577239,13,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,2.958575,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.713294,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.880214,5.731588,2.394074,-4.306618,5.614684,0.367664,0.2
455,0.8249525797602643,0.6953561884668102,0.026437235436897945,0.1438400183805574,53,57,1.309703116830974,0.6956543080665456,13,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,2.954722,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.715415,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.880048,5.731324,2.394018,-4.306618,5.614684,0.367603,0.2
382,0.7767433546944765,0.7148436295732589,0.014319988219883777,0.15989200393758,53,16,1.271805939244941,0.7224416370225957,16,False,2.499707,-4.306618,0.501350,0.890414,-1.153885,0.619337,3.992172,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.185343,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.861744,5.961563,2.441631,-4.306618,5.614684,0.352938,0.2
394,0.8070620299786493,0.7848455351228735,0.0256986609549233,0.1464714120044438,54,20,1.3169636894845655,0.6182067258753835,16,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.625918,2.731151,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,0.652290,-0.714264,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.861050,5.705507,2.388620,-4.306618,5.614684,0.360480,0.2
105,0.5088755180355656,0.3065883544215816,0.08243972619575499,0.1802401343893621,39,52,1.5489208089755122,1.37397387216298,17,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,-2.181662,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.806177,2.224802,-1.248130,0.862770,-2.316704,1.815518,5.358443,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.859258,6.457270,2.541116,-4.306618,5.614684,0.338142,0.2
